HmN_000000100	EmuJ_001147800
HmN_000000200	EmuJ_001148500
HmN_000000300	EmuJ_001148600
HmN_000000400	EmuJ_001148800
HmN_000000700	EmuJ_001127500
HmN_000000800	EmuJ_001127600
HmN_000000900	EmuJ_001127700
HmN_000001000	EmuJ_001126050
HmN_000001100	EmuJ_001126100
HmN_000001200	EmuJ_001125700
HmN_000001600	EmuJ_000128000
HmN_000001700	EmuJ_000595200
HmN_000001800	EmuJ_000595100
HmN_000001900	EmuJ_000595000
HmN_000002000	EmuJ_000594800
HmN_000002100	EmuJ_000594900
HmN_000002200	EmuJ_000594700
HmN_000002300	EmuJ_000594400
HmN_000002400	EmuJ_000594300
HmN_000002500	EmuJ_000594200
HmN_000002600	EmuJ_000645000
HmN_000002700	EmuJ_000644850
HmN_000002800	EmuJ_000644900
HmN_000002900	EmuJ_000644800
HmN_000003200	EmuJ_000644600
HmN_000003300	EmuJ_000644500
HmN_000003500	EmuJ_000644100
HmN_000003600	EmuJ_000644000
HmN_000003700	EmuJ_000643700
HmN_000003900	EmuJ_000643600
HmN_000004000	EmuJ_000643500
HmN_000004100	EmuJ_000643450
HmN_000004200	EmuJ_000643400
HmN_000004300	EmuJ_000643200
HmN_000004500	EmuJ_000642900
HmN_000004600	EmuJ_000642700
HmN_000004750	EmuJ_000642500
HmN_000005100	EmuJ_000641900
HmN_000005200	EmuJ_000641600
HmN_000005300	EmuJ_000641500
HmN_000005500	EmuJ_000641400
HmN_000005600	EmuJ_000641300
HmN_000005800	EmuJ_000599600
HmN_000006000	EmuJ_000601600
HmN_000006300	EmuJ_000601700
HmN_000006400	EmuJ_000601800
HmN_000006500	EmuJ_000601900
HmN_000006600	EmuJ_000602000
HmN_000006700	EmuJ_000602100
HmN_000007100	EmuJ_001061600
HmN_000007300	EmuJ_000602300
HmN_000007400	EmuJ_000602400
HmN_000007500	EmuJ_000602500
HmN_000007600	EmuJ_000602600
HmN_000007800	EmuJ_000602900
HmN_000008000	EmuJ_000603100
HmN_000008100	EmuJ_000603000
HmN_000008200	EmuJ_000603200
HmN_000008300	EmuJ_000603400
HmN_000008400	EmuJ_000603500
HmN_000008500	EmuJ_000603600
HmN_000008700	EmuJ_000603900
HmN_000009000	EmuJ_000600700
HmN_000009100	EmuJ_000604500
