HCON_00000010	WBGene00001242
HCON_00000020	WBGene00006503
HCON_00000030	WBGene00004298
HCON_00000140	WBGene00018786
HCON_00000190	WBGene00003815
HCON_00000260	WBGene00001500
HCON_00000260	WBGene00001501
HCON_00000290	WBGene00013107
HCON_00000290	WBGene00021287
HCON_00000310	WBGene00016931
HCON_00000400	WBGene00018711
HCON_00000410	WBGene00018711
HCON_00000450	WBGene00020189
HCON_00000480	WBGene00020190
HCON_00000490	WBGene00020184
HCON_00000500	WBGene00020193
HCON_00000550	WBGene00012978
HCON_00000570	WBGene00016422
HCON_00000670	WBGene00003233
HCON_00000690	WBGene00077521
HCON_00000700	WBGene00189958
HCON_00000710	WBGene00011915
HCON_00000720	WBGene00011914
HCON_00000730	WBGene00011912
HCON_00000740	WBGene00002879
HCON_00000790	WBGene00018008
HCON_00000790	WBGene00018354
HCON_00000800	WBGene00022029
HCON_00000800	WBGene00018007
HCON_00000810	WBGene00018009
HCON_00000820	WBGene00018006
HCON_00000830	WBGene00001633
HCON_00000920	WBGene00017816
HCON_00000940	WBGene00006617
HCON_00000990	WBGene00006407
HCON_00001010	WBGene00008570
HCON_00001020	WBGene00008570
HCON_00001030	WBGene00001592
HCON_00001070	WBGene00013266
HCON_00001080	WBGene00007561
HCON_00001090	WBGene00012275
HCON_00001100	WBGene00003675
HCON_00001120	WBGene00015009
HCON_00001130	WBGene00011829
HCON_00001130	WBGene00012293
HCON_00001160	WBGene00000368
HCON_00001170	WBGene00004111
HCON_00001180	WBGene00004111
HCON_00001190	WBGene00000871
HCON_00001200	WBGene00016492
HCON_00001210	WBGene00016493
HCON_00001230	WBGene00009318
HCON_00001250	WBGene00003170
HCON_00001260	WBGene00017089
HCON_00001260	WBGene00077701
HCON_00001260	WBGene00044697
HCON_00001270	WBGene00017088
HCON_00001280	WBGene00017087
HCON_00001310	WBGene00017852
HCON_00001320	WBGene00004186
HCON_00001330	WBGene00009051
HCON_00001360	WBGene00004890
HCON_00001370	WBGene00020842
HCON_00001400	WBGene00009120
HCON_00001410	WBGene00009119
HCON_00001420	WBGene00009118
HCON_00001440	WBGene00009116
HCON_00001450	WBGene00006578
HCON_00001460	WBGene00006720
HCON_00001470	WBGene00006577
HCON_00001480	WBGene00009453
HCON_00001500	WBGene00006833
HCON_00001510	WBGene00018765
HCON_00001530	WBGene00020417
HCON_00001540	WBGene00010671
HCON_00001550	WBGene00010671
HCON_00001560	WBGene00002002
HCON_00001620	WBGene00001007
HCON_00001630	WBGene00010641
HCON_00001640	WBGene00010427
HCON_00001650	WBGene00010738
HCON_00001670	WBGene00016128
HCON_00001680	WBGene00009919
HCON_00001690	WBGene00016622
HCON_00001700	WBGene00015232
HCON_00001720	WBGene00010642
HCON_00001730	WBGene00010642
HCON_00001750	WBGene00014200
HCON_00001750	WBGene00008681
HCON_00001750	WBGene00015437
HCON_00001750	WBGene00011935
HCON_00001760	WBGene00007516
HCON_00001790	WBGene00013969
HCON_00001830	WBGene00022592
HCON_00001850	WBGene00003905
HCON_00001860	WBGene00012484
HCON_00001890	WBGene00007054
HCON_00001980	WBGene00006757
HCON_00001990	WBGene00006757
HCON_00002000	WBGene00004113
HCON_00002010	WBGene00000058
HCON_00002020	WBGene00022121
HCON_00002030	WBGene00003836
HCON_00002080	WBGene00022122
HCON_00002110	WBGene00002051
HCON_00002110	WBGene00003485
HCON_00002120	WBGene00009475
HCON_00002160	WBGene00009477
HCON_00002170	WBGene00009479
HCON_00002210	WBGene00013682
HCON_00002220	WBGene00011892
HCON_00002220	WBGene00009444
HCON_00002230	WBGene00004378
HCON_00002240	WBGene00004378
HCON_00002270	WBGene00011948
HCON_00002320	WBGene00018866
HCON_00002340	WBGene00018866
HCON_00002360	WBGene00006308
HCON_00002380	WBGene00001542
HCON_00002380	WBGene00001545
HCON_00002380	WBGene00001534
HCON_00002380	WBGene00001540
HCON_00002380	WBGene00001533
HCON_00002390	WBGene00001542
HCON_00002390	WBGene00001545
HCON_00002390	WBGene00001534
HCON_00002390	WBGene00001540
HCON_00002390	WBGene00001533
HCON_00002500	WBGene00022148
HCON_00002520	WBGene00045192
HCON_00002530	WBGene00010562
HCON_00002540	WBGene00017976
HCON_00002550	WBGene00003006
HCON_00002560	WBGene00003006
HCON_00002580	WBGene00000912
HCON_00002600	WBGene00013703
HCON_00002610	WBGene00014965
HCON_00002620	WBGene00010872
HCON_00002630	WBGene00001949
HCON_00002700	WBGene00000664
HCON_00002720	WBGene00007669
HCON_00002720	WBGene00008677
HCON_00002730	WBGene00007669
HCON_00002730	WBGene00008677
HCON_00002740	WBGene00010488
HCON_00002750	WBGene00010488
HCON_00002770	WBGene00011898
HCON_00002770	WBGene00011896
HCON_00002780	WBGene00003209
HCON_00002790	WBGene00014115
HCON_00002800	WBGene00012376
HCON_00002810	WBGene00001574
HCON_00002820	WBGene00003182
HCON_00002850	WBGene00011532
HCON_00002860	WBGene00011531
HCON_00002870	WBGene00015184
HCON_00002870	WBGene00016789
HCON_00002880	WBGene00015185
HCON_00002890	WBGene00015186
HCON_00002900	WBGene00018955
HCON_00002910	WBGene00003062
HCON_00002920	WBGene00020346
HCON_00002930	WBGene00020383
HCON_00002940	WBGene00004721
HCON_00002970	WBGene00010768
HCON_00003080	WBGene00000099
HCON_00003100	WBGene00001819
HCON_00003120	WBGene00020115
HCON_00003400	WBGene00022455
HCON_00003410	WBGene00021734
HCON_00003420	WBGene00006492
HCON_00003430	WBGene00006349
HCON_00003440	WBGene00009557
HCON_00003450	WBGene00017858
HCON_00003460	WBGene00002601
HCON_00003470	WBGene00011631
HCON_00003520	WBGene00006765
HCON_00003530	WBGene00006765
HCON_00003540	WBGene00000013
HCON_00003560	WBGene00006765
HCON_00003570	WBGene00006765
HCON_00003580	WBGene00009740
HCON_00003590	WBGene00009739
HCON_00003590	WBGene00019937
HCON_00003610	WBGene00001832
HCON_00003650	WBGene00017648
HCON_00003660	WBGene00000703
HCON_00003670	WBGene00020375
HCON_00003680	WBGene00020260
HCON_00003690	WBGene00021938
HCON_00003710	WBGene00019334
HCON_00003740	WBGene00009368
HCON_00003750	WBGene00019481
HCON_00003760	WBGene00016643
HCON_00003770	WBGene00022274
HCON_00003770	WBGene00009094
HCON_00003790	WBGene00016751
HCON_00003800	WBGene00020868
HCON_00003840	WBGene00006039
HCON_00003840	WBGene00009680
HCON_00003840	WBGene00006047
HCON_00003840	WBGene00006040
HCON_00003840	WBGene00016447
HCON_00003840	WBGene00006038
HCON_00003840	WBGene00009684
HCON_00003840	WBGene00006044
HCON_00003840	WBGene00009682
HCON_00003850	WBGene00000540
HCON_00003860	WBGene00012936
HCON_00003870	WBGene00000519
HCON_00003890	WBGene00015820
HCON_00003890	WBGene00009321
HCON_00003910	WBGene00022454
HCON_00003930	WBGene00000502
HCON_00003960	WBGene00016534
HCON_00003970	WBGene00017004
HCON_00003980	WBGene00002324
HCON_00003990	WBGene00008127
HCON_00003990	WBGene00017565
HCON_00004010	WBGene00004436
HCON_00004020	WBGene00004479
HCON_00004030	WBGene00017003
HCON_00004060	WBGene00019666
HCON_00004060	WBGene00018921
HCON_00004060	WBGene00004093
HCON_00004080	WBGene00000050
HCON_00004120	WBGene00003072
HCON_00004130	WBGene00009461
HCON_00004150	WBGene00013127
HCON_00004190	WBGene00010134
HCON_00004200	WBGene00003029
HCON_00004300	WBGene00002000
HCON_00004320	WBGene00008764
HCON_00004330	WBGene00008765
HCON_00004340	WBGene00008766
HCON_00004350	WBGene00018723
HCON_00004360	WBGene00000764
HCON_00004370	WBGene00016729
HCON_00004370	WBGene00000205
HCON_00004380	WBGene00021840
HCON_00004390	WBGene00000099
HCON_00004400	WBGene00010569
HCON_00004410	WBGene00010564
HCON_00004420	WBGene00001641
HCON_00004420	WBGene00001644
HCON_00004420	WBGene00001643
HCON_00004420	WBGene00001642
HCON_00004440	WBGene00017643
HCON_00004450	WBGene00003996
HCON_00004500	WBGene00010769
HCON_00004530	WBGene00220261
HCON_00004550	WBGene00017025
HCON_00004560	WBGene00021733
HCON_00004570	WBGene00021733
HCON_00004580	WBGene00001008
HCON_00004590	WBGene00013716
HCON_00004610	WBGene00004372
HCON_00004630	WBGene00012107
HCON_00004650	WBGene00004476
HCON_00004710	WBGene00022593
HCON_00004770	WBGene00021681
HCON_00004770	WBGene00008882
HCON_00004780	WBGene00004274
HCON_00004790	WBGene00004418
HCON_00004820	WBGene00022131
HCON_00004830	WBGene00044499
HCON_00004830	WBGene00021675
HCON_00004830	WBGene00009644
HCON_00004850	WBGene00016948
HCON_00004860	WBGene00000006
HCON_00004890	WBGene00004771
HCON_00004900	WBGene00006532
HCON_00004950	WBGene00021845
HCON_00004960	WBGene00021844
HCON_00004980	WBGene00021843
HCON_00004990	WBGene00015635
HCON_00005000	WBGene00022748
HCON_00005010	WBGene00003132
HCON_00005020	WBGene00012386
HCON_00005030	WBGene00017749
HCON_00005040	WBGene00022750
HCON_00005060	WBGene00016159
HCON_00005080	WBGene00000138
HCON_00005110	WBGene00006352
HCON_00005120	WBGene00009157
HCON_00005130	WBGene00013689
HCON_00005140	WBGene00013688
HCON_00005150	WBGene00013690
HCON_00005160	WBGene00013690
HCON_00005220	WBGene00015019
HCON_00005230	WBGene00013717
HCON_00005240	WBGene00013718
HCON_00005260	WBGene00006537
HCON_00005260	WBGene00006536
HCON_00005270	WBGene00022386
HCON_00005280	WBGene00022389
HCON_00005300	WBGene00021841
HCON_00005330	WBGene00003387
HCON_00005680	WBGene00011582
HCON_00005690	WBGene00016332
HCON_00005710	WBGene00003596
HCON_00005730	WBGene00003596
HCON_00005740	WBGene00011828
HCON_00005760	WBGene00000408
HCON_00006140	WBGene00021070
HCON_00006140	WBGene00009347
HCON_00006190	WBGene00021070
HCON_00006190	WBGene00009347
HCON_00006210	WBGene00021070
HCON_00006210	WBGene00009347
HCON_00006230	WBGene00021070
HCON_00006230	WBGene00009347
HCON_00006240	WBGene00021070
HCON_00006240	WBGene00009347
HCON_00006250	WBGene00021070
HCON_00006250	WBGene00009347
HCON_00006270	WBGene00021070
HCON_00006270	WBGene00009347
HCON_00006280	WBGene00021070
HCON_00006280	WBGene00009347
HCON_00006290	WBGene00021070
HCON_00006290	WBGene00009347
HCON_00006300	WBGene00021070
HCON_00006300	WBGene00009347
HCON_00006310	WBGene00021070
HCON_00006310	WBGene00009347
HCON_00006320	WBGene00021070
HCON_00006320	WBGene00009347
HCON_00006340	WBGene00021070
HCON_00006340	WBGene00009347
HCON_00006360	WBGene00021070
HCON_00006360	WBGene00009347
HCON_00006400	WBGene00021070
HCON_00006400	WBGene00009347
HCON_00006440	WBGene00021070
HCON_00006440	WBGene00009347
HCON_00006450	WBGene00021070
HCON_00006450	WBGene00009347
HCON_00006560	WBGene00003040
HCON_00006570	WBGene00011232
HCON_00006580	WBGene00022366
HCON_00006590	WBGene00022363
HCON_00006600	WBGene00022365
HCON_00006610	WBGene00001627
HCON_00006620	WBGene00002276
HCON_00006620	WBGene00019483
HCON_00006620	WBGene00206377
HCON_00006640	WBGene00016564
HCON_00006670	WBGene00013461
HCON_00006680	WBGene00022102
HCON_00006710	WBGene00022102
HCON_00006760	WBGene00016421
HCON_00006770	WBGene00007214
HCON_00006780	WBGene00014174
HCON_00006790	WBGene00002181
HCON_00006800	WBGene00007047
HCON_00006810	WBGene00007536
HCON_00006820	WBGene00011864
HCON_00006830	WBGene00016698
HCON_00006830	WBGene00009548
HCON_00006840	WBGene00006793
HCON_00006850	WBGene00012351
HCON_00006860	WBGene00000436
HCON_00006880	WBGene00007707
HCON_00006890	WBGene00077526
HCON_00006900	WBGene00002153
HCON_00006930	WBGene00003957
HCON_00006930	WBGene00003958
HCON_00006930	WBGene00003959
HCON_00007010	WBGene00006039
HCON_00007010	WBGene00009680
HCON_00007010	WBGene00006047
HCON_00007010	WBGene00006040
HCON_00007010	WBGene00016447
